Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,023034,2000,03,15.6,Y
IDCJAC0004,023034,2000,04,12.4,Y
IDCJAC0004,023034,2000,05,9.5,Y
IDCJAC0004,023034,2000,06,7.7,Y
IDCJAC0004,023034,2000,07,7.2,Y
IDCJAC0004,023034,2000,08,7.8,Y
IDCJAC0004,023034,2000,09,10.4,Y
IDCJAC0004,023034,2000,10,11.3,Y
IDCJAC0004,023034,2000,11,16.3,Y
IDCJAC0004,023034,2000,12,15.2,Y
IDCJAC0004,023034,2001,01,19.2,Y
IDCJAC0004,023034,2001,02,19.0,Y
IDCJAC0004,023034,2001,03,14.1,Y
IDCJAC0004,023034,2001,04,11.0,Y
IDCJAC0004,023034,2001,05,8.9,Y
IDCJAC0004,023034,2001,06,9.0,Y
IDCJAC0004,023034,2001,07,6.7,Y
IDCJAC0004,023034,2001,08,8.9,Y
IDCJAC0004,023034,2001,09,10.4,Y
IDCJAC0004,023034,2001,10,10.7,Y
IDCJAC0004,023034,2001,11,12.2,Y
IDCJAC0004,023034,2001,12,13.2,Y
IDCJAC0004,023034,2002,01,15.1,Y
IDCJAC0004,023034,2002,02,14.8,Y
IDCJAC0004,023034,2002,03,13.6,Y
IDCJAC0004,023034,2002,04,12.0,Y
IDCJAC0004,023034,2002,05,10.5,Y
IDCJAC0004,023034,2002,06,8.4,Y
IDCJAC0004,023034,2002,07,7.8,Y
IDCJAC0004,023034,2002,08,6.5,Y
